 domgi       accession                      taxid      
	taxOrg                                                                  
                                                                                
                                                                                
                       
	nPig        nGi        
                                                                                
                       
	          1           1
      335786 pfam04432                          2015557
	Flavobacterium sp. BFFFF1                                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2015569
	Alphaproteobacteria bacterium PA1                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2015571
	Alphaproteobacteria bacterium PA3                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2015578
	Rhodobacteraceae bacterium PARR1                                        
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2015580
	Comamonadaceae bacterium PBBC1                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2015581
	Comamonadaceae bacterium PBBC2                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2016101
	Thermosynechococcus elongatus PKUAC-SCTE542                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2020313
	Rhizobium sp. TAL182                                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2024197
	Bacteroides cutis                                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2024849
	Candidatus Pelagibacter sp.                                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2024894
	Acidimicrobiaceae bacterium                                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2025605
	Synechococcus sp. 1G10                                                  
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2025606
	Synechococcus sp. 8F6                                                   
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2025659
	Bacteroides sp. KFT8                                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2026339
	Rhodobacteraceae bacterium O448                                         
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2026734
	Dehalococcoidia bacterium                                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2026760
	Candidatus Marinimicrobia bacterium                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2026781
	Candidatus Poribacteria bacterium                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2026785
	Rhodobiaceae bacterium                                                  
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2026800
	Verrucomicrobiaceae bacterium                                           
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2026889
	Cyanobium sp. Baikal-G2                                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2026890
	Synechococcus sp. Baikal-G1                                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2028210
	Geitlerinema sp. FC II                                                  
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2029589
	Leptolyngbya sp. BC1307                                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2030009
	Tabrizicola sp. XJSP                                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2030807
	Candidatus Aerophobetes bacterium                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2030813
	Desulfotalea sp.                                                        
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2030817
	Oceanobacter sp.                                                        
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2030927
	Bacteroidales bacterium                                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2033435
	Rhodobacteraceae bacterium QY30                                         
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2033588
	Chlorobium sp. 445                                                      
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2035407
	bacterium HR12                                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2035418
	bacterium HR23                                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2035425
	bacterium HR30                                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2035432
	bacterium HR37                                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2040291
	Dorea sp. Marseille-P4003                                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2041840
	Lactomassilus timonensis                                                
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2042059
	Synechococcus sp. BDU 130192                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2043169
	Candidatus Desulfosporosinus infrequens                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2043171
	Pseudanabaena sp. BC1403                                                
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2044591
	Candidatus Fermentibacteria bacterium                                   
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2044939
	Clostridia bacterium                                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2044940
	Desulfobacterales bacterium                                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2048242
	Alistipes sp. Marseille-P5061                                           
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2048667
	Ruminococcaceae bacterium HV4-5-B5C                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2051956
	Methylotenera sp.                                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2051957
	Rubrobacter indicoceani                                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2052148
	candidate division WOR-3 bacterium                                      
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2052166
	Candidatus Melainabacteria bacterium                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2053489
	Candidatus Lokiarchaeota archaeon                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2053527
	candidate division Zixibacteria bacterium                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2053573
	Candidatus Margulisbacteria bacterium                                   
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2054282
	Cyanobacterium sp. HL-69                                                
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2054928
	Cyanobacteria bacterium M5B4                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2056810
	Rhodobacteraceae bacterium LMIT002                                      
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2056865
	Pseudomonas sp. HMWF031                                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2058894
	Arthrobacter sp. GMC3                                                   
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2059911
	Brachybacterium sp. YJGR34                                              
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2060470
	Microcystis flos-aquae DF17                                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2060472
	Microcystis aeruginosa TA09                                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2060474
	Microcystis wesenbergii TW10                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2071624
	Haloferacaceae archaeon SYSU A00711                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2072014
	Actinomyces sp. 553                                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2072747
	Alcanivoracaceae bacterium GenoA1_TS13_700                              
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2073157
	Labrenzia sp. EL143                                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2080302
	Acidimicrobiia bacterium                                                
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2082392
	Devosia sp. CM5-1                                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2082950
	Cyanothece sp. BG0011                                                   
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2083498
	Ketobacter sp.                                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2086585
	Christensenella sp. Marseille-P3954                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2093360
	Candidatus Abyssubacteria bacterium SURF_5                              
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2093366
	Candidatus Aureabacteria bacterium SURF_26                              
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2093367
	Desulfarculus sp.                                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2093368
	Candidatus Desulforudis sp.                                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2093792
	Candidatus Aenigmarchaeota archaeon                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2099678
	Desulfuromonadales bacterium                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2107583
	Rhodobacteraceae bacterium EL53                                         
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2107703
	filamentous cyanobacterium CCP1                                         
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2107705
	filamentous cyanobacterium Phorm 46                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2108530
	Ruegeria sp. AU67                                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2109628
	Hapalosiphonaceae cyanobacterium JJU2                                   
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2109911
	Candidatus Amulumruptor caecigallinarius                                
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2126672
	Roseovarius sp. EL26                                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2133951
	Marivita sp. XM-24bin2                                                  
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2135463
	Agromyces sp. OV415                                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2137776
	archaeon SCG-AAA382B04                                                  
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2137880
	Candidatus Gastranaerophilales bacterium                                
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2138161
	Olsenella sp. Marseille-P4518                                           
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2138210
	Lutibacter sp. 1KV19                                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2161820
	Dysgonomonas sp. Marseille-P4361                                        
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2164067
	Rhodospirillaceae bacterium HHTR118                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2164131
	Snowella sp.                                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2170428
	Vulcanococcus limneticus                                                
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2172049
	Rhizobiaceae bacterium CPCC 101076                                      
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2185104
	Elioraea sp. YIM 72297                                                  
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2200908
	enodsymbiont of Escarpia spicata                                        
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2212469
	Calditrichaeota bacterium                                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2217673
	Blastomonas sp. UPD001                                                  
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2219045
	Flavobacteriaceae bacterium DSL-48                                      
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2219813
	Synechococcus elongatus PCC 11801                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2233774
	Paracoccus sp. SYSUP0003                                                
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2250085
	Candidatus Hydrothermae bacterium                                       
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2250256
	Candidatus Altiarchaeales archaeon                                      
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2259592
	Jannaschia sp. 12N15                                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2267256
	Synechococcus sp. MED-G71                                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2282654
	Saliphagus sp. LR7                                                      
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2290915
	Candidatus Cryosericum hinesii                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2293023
	Clostridium sp. AM18-55                                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2293859
	Halanaerobium sp. MSAO_Bac5                                             
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2320083
	Butyricicoccus sp. 1XD8-22                                              
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2320089
	Ruminococcus sp. 1xD21-23                                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2341039
	Erythrobacteraceae bacterium SX2RGS8                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2358187
	Alteromonas sp. 76-1                                                    
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2364792
	Intestinibacillus sp. Marseille-P6563                                   
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2420335
	Cyanobacteria bacterium J149                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2420336
	Cyanobacteria bacterium J083                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2420338
	Cyanobacteria bacterium J055                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2420339
	Cyanobacteria bacterium J007                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2420340
	Cyanobacteria bacterium J003                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2448023
	Ilumatobacteraceae                                                      
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2448456
	Halostella sp. LT12                                                     
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2479545
	Pararhodobacter sp. ZQ420                                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2479840
	Prevotella sp. Marseille-P8229                                          
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2480581
	Halalkalicoccus sp. GSM28                                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2483801
	Leptolyngbya sp. IPPAS B-1204                                           
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2485170
	Granulicella sp. GAS466                                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2485785
	Chroococcales cyanobacterium metabat2.561                               
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2486009
	Lactobacillus sp. M1575                                                 
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2487129
	Defluviimonas sp. XJ4                                                   
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2491022
	Haloterrigena sp. ZY19                                                  
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2491675
	Methanohalophilus sp. WG1-DM                                            
                                                                                
                                                                                
                       
	          1           1
      335786 pfam04432                          2491704
	Candidatus Viridilinea halotolerans                                     
                                                                                
